Land,Ländercode,Jahr,Aerzte_pro_1000,Gesundheitsausgaben_BIP,Kindersterblichkeit,Krankenhausbetten_pro_1000,Lebenserwartung,Letzte_Aktualisierung
Sub-Saharan Africa (IDA & IBRD countries),TSS,2024,,,47.1181350718033,,62.8037945390391,24.04.2026 22:33
Sub-Saharan Africa (excluding high income),SSA,2024,,,48.4941018433481,,62.2554823405487,24.04.2026 22:33
Sudan,SDN,2024,,,42.9,,66.521,24.04.2026 22:33
Suriname,SUR,2023,1.355,,,,,24.04.2026 22:33
Suriname,SUR,2024,,,14.8,,73.757,24.04.2026 22:33
Sweden,SWE,2024,,11.21510124,2.0,,84.0634146341463,24.04.2026 22:33
Switzerland,CHE,2023,,,,4.38,,24.04.2026 22:33
Switzerland,CHE,2024,,,3.4,,84.4073170731707,24.04.2026 22:33
Syrian Arab Republic,SYR,2024,,,17.7,,72.56,24.04.2026 22:33
Tajikistan,TJK,2023,1.87,,,4.04,,24.04.2026 22:33
Tajikistan,TJK,2024,,,23.5,,71.927,24.04.2026 22:33
Tanzania,TZA,2024,,,28.7,,67.212,24.04.2026 22:33
Thailand,THA,2023,,,,2.39,,24.04.2026 22:33
Thailand,THA,2024,,,7.7,,76.564,24.04.2026 22:33
Timor-Leste,TLS,2023,,,,0.38,,24.04.2026 22:33
Timor-Leste,TLS,2024,,,34.6,,67.904,24.04.2026 22:33
Togo,TGO,2024,,,34.8,,62.935,24.04.2026 22:33
Tonga,TON,2024,,,7.8,,73.07,24.04.2026 22:33
Trinidad and Tobago,TTO,2023,,,,2.37,,24.04.2026 22:33
Trinidad and Tobago,TTO,2024,,,17.0,,73.617,24.04.2026 22:33
Tunisia,TUN,2023,,,,1.82,,24.04.2026 22:33
Tunisia,TUN,2024,,,9.7,,76.711,24.04.2026 22:33
Turkiye,TUR,2023,,,,3.05,,24.04.2026 22:33
Turkiye,TUR,2024,,,8.0,,77.421,24.04.2026 22:33
Turkmenistan,TKM,2023,1.93,,,,,24.04.2026 22:33
Turkmenistan,TKM,2024,,,30.4,,70.201,24.04.2026 22:33
Turks and Caicos Islands,TCA,2024,,,3.0,,78.181,24.04.2026 22:33
Tuvalu,TUV,2024,,,16.5,,67.259,24.04.2026 22:33
Uganda,UGA,2024,,,35.9,,68.487,24.04.2026 22:33
Ukraine,UKR,2023,3.531,,,,,24.04.2026 22:33
Ukraine,UKR,2024,,,7.6,,74.692,24.04.2026 22:33
United Arab Emirates,ARE,2023,2.992,,,,,24.04.2026 22:33
United Arab Emirates,ARE,2024,,,3.8,,83.069,24.04.2026 22:33
United Kingdom,GBR,2023,3.301,,,,,24.04.2026 22:33
United Kingdom,GBR,2024,,11.133358,4.1,,81.3868536585366,24.04.2026 22:33
United States,USA,2024,,,5.5,,78.890243902439,24.04.2026 22:33
Uruguay,URY,2023,,,,2.44,,24.04.2026 22:33
Uruguay,URY,2024,,,6.2,,78.287,24.04.2026 22:33
Uzbekistan,UZB,2023,,,,4.89,,24.04.2026 22:33
Uzbekistan,UZB,2024,,,12.8,,72.528,24.04.2026 22:33
Vanuatu,VUT,2024,,,14.4,,71.654,24.04.2026 22:33
"Venezuela, RB",VEN,2024,,,21.2,,72.673,24.04.2026 22:33
Viet Nam,VNM,2024,,,12.0,,74.736,24.04.2026 22:33
Virgin Islands (U.S.),VIR,2024,,,,,80.7707317073171,24.04.2026 22:33
West Bank and Gaza,PSE,2024,,,17.0,,69.213,24.04.2026 22:33
"Yemen, Rep.",YEM,2023,0.098,,,0.46,,24.04.2026 22:33
"Yemen, Rep.",YEM,2024,,,33.8,,69.439,24.04.2026 22:33
Zambia,ZMB,2024,,,34.6,,66.528,24.04.2026 22:33
Zimbabwe,ZWE,2023,0.136,,,,,24.04.2026 22:33
Zimbabwe,ZWE,2024,,,62.4,,63.064,24.04.2026 22:33
